series,series.jaz,species,sp.short,ser.short
buxeales,buxeales,albens,alb,bux
buxeales,buxeales,albensXmicrocarpa,albXmic,bux
buxeales,buxeales,microcarpa,mic,bux
buxeales,buxeales,moluccana,mol,bux
buxeales,buxeales,odorata,odo,bux
buxeales,buxeales,populnea,pop,bux
buxeales,buxeales,porosa,por,bux
buxeales,buxeales,woolsiana,wool,bux
heterophloiae,heterophloiae,conica,con,hetero
heterophloiae,heterophloiae,polyanthemos,poly,hetero
melliodorae,melliodorae,leucoxylon,leuc,mellio
melliodorae,melliodorae,melliodora,mel,mellio
melliodorae,melliodorae,sideroxylon,sider,mellio
melliodorae,melliodorae,sideroxylonXmicrocarpa,sidXmic,mellio
melliodorae,melliodorae,sideroxylonXmoluccana,sidXmol,mellio
melliodorae,melliodorae,sideroxylonXmelliodora,sidXmel,mellio
melliodorae,melliodorae,tricarpa,tri,mellio
rhodoxylon,rhodophloiae,caleyi,cal,rhodox
siderophloiae,rhodophloiae,crebra,creb,sider
siderophloiae,rhodophloiae,fibrosa,fib,sider
buxeales,buxeales,pilligaensis,pil,bux
buxeales,buxeales,largiflorens,lrg,bux
buxeales,buxeales,woollsiana,wol,bux
heterophloiae,heterophloiae,baueriana,bau,hetero
